"resourceID","relatedResourceID","relationshipOfResource"
"1117f5ab-ec50-4fea-a151-601cdaff2850","SCBI_014.20140610.IXOSCA.N","pathogen of"
"c981ace0-5aba-4aab-a46e-4746e9eb6ae8","SCBI_014.20140610.AMBAME.N","pathogen of"
"9e699b38-7347-42d8-b319-ec46ae9fd06b","SCBI_014.20140610.AMBAME.N","pathogen of"
"4fb2775a-ff98-489e-947e-4f616d1495e8","SCBI_014.20140610.IXOSCA.N","pathogen of"
"9b8693fa-22c7-440e-a3f8-e2ea09768ad7","SCBI_014.20140610.AMBAME.N","pathogen of"
"1f48a98d-f5cf-4a99-8949-be7945636177","SCBI_014.20140610.AMBAME.N","pathogen of"
"324b00f2-b7ee-4f4d-8501-6cb96617b940","SCBI_014.20140610.IXOSCA.N","pathogen of"
"084607eb-2358-49c3-9e87-95c4e2ce30ca","SCBI_014.20140610.AMBAME.N","pathogen of"
"9ea255b9-e0c1-47ec-8690-17634321ab19","SCBI_014.20140610.AMBAME.N","pathogen of"
"9a1a8a39-1cad-41a7-a5e0-d45be2472da0","SCBI_014.20140610.IXOSCA.N","pathogen of"
"941f6e23-0d6a-4790-a482-7089bd7f6b6e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b38d7d60-6d6b-4b1f-9c6e-40baea86538c","SCBI_014.20140610.IXOSCA.N","pathogen of"
"2592836b-95aa-473a-8fa1-06bc94c7b172","SCBI_014.20140610.IXOSCA.N","pathogen of"
"3f590092-4f59-4682-9604-bab049c11a32","SCBI_014.20140610.AMBAME.N","pathogen of"
"c569bba0-645c-4286-9973-e8aa04ccc9a2","SCBI_014.20140610.AMBAME.N","pathogen of"
"0fa6098f-9c75-40ff-9245-2b8f01ff4c43","SCBI_014.20140610.IXOSCA.N","pathogen of"
"33b82a44-e73c-4ff2-9ba3-799c2660851e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"7ee09ca1-fd82-4cb9-810a-c06eeb38aad6","SCBI_014.20140610.IXOSCA.N","pathogen of"
"5c6d8bfc-2487-4924-bcf5-6acfc664e172","SCBI_014.20140610.AMBAME.N","pathogen of"
"02573db8-fb1e-4a45-8701-1e82659696b9","SCBI_014.20140610.IXOSCA.N","pathogen of"
"776253f6-4d7d-453a-bfcb-25c59564ac85","SCBI_014.20140610.IXOSCA.N","pathogen of"
"ccf3a761-a664-42f9-9319-8a200225b375","SCBI_014.20140610.IXOSCA.N","pathogen of"
"05b5a55f-8321-415e-b7ca-fd980bbde734","SCBI_014.20140610.IXOSCA.N","pathogen of"
"462ae3a8-baba-4fb5-b89c-f2dcbb90aa82","SCBI_014.20140610.AMBAME.N","pathogen of"
"428a99b1-7259-4afb-971c-0b3632388478","SCBI_014.20140610.AMBAME.N","pathogen of"
"24e5b1e9-ad7d-4dc3-9fcc-1d6ed45183ff","SCBI_014.20140610.IXOSCA.N","pathogen of"
"fcfcbf2d-069d-4a79-98ad-2b6f1205638b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"ea7ea3e2-bde2-4ab6-816c-db3ecd13950f","SCBI_014.20140610.IXOSCA.N","pathogen of"
"1ebb85f7-188e-48e2-8d2a-463f2b2c56f4","SCBI_014.20140610.AMBAME.N","pathogen of"
"89fc802b-ab85-4336-931a-b90e409d0ffa","SCBI_014.20140610.AMBAME.N","pathogen of"
"fb8d8c54-70d2-4a11-af25-475113dba897","SCBI_014.20140610.IXOSCA.N","pathogen of"
"e52de40c-d5bd-4d92-bfd0-d71dfb95ba9e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"59fac936-c7bc-4703-9ca1-0b0d0cb48bb6","SCBI_014.20140610.IXOSCA.N","pathogen of"
"83177690-b165-4142-8a84-de9f230bc3fa","SCBI_014.20140610.AMBAME.N","pathogen of"
"7959a9a8-8476-46d0-b82f-1405628f06fa","SCBI_014.20140610.IXOSCA.N","pathogen of"
"0afb99ea-b9a7-42a6-9ca6-efe5b35018c2","SCBI_014.20140610.AMBAME.N","pathogen of"
"47560f23-203e-451b-9d08-d280e50caba0","SCBI_014.20140610.IXOSCA.N","pathogen of"
"f853f61d-5fbc-4eec-aa27-182cbdbb0191","SCBI_014.20140610.IXOSCA.N","pathogen of"
"4d3b6c74-4245-4c9a-8bab-e41597727191","SCBI_014.20140610.AMBAME.N","pathogen of"
"5d273d97-17f9-42d5-a8cc-77eaaa15feff","SCBI_014.20140610.IXOSCA.N","pathogen of"
"6bea7754-c5e3-481f-9407-28f6a6240efc","SCBI_014.20140610.IXOSCA.N","pathogen of"
"dd24f9d1-0b44-40d9-94c5-39555c7a9451","SCBI_014.20140610.AMBAME.N","pathogen of"
"8186837c-8376-45de-970a-07cb2b28afc4","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b2ea88da-58aa-4d00-827e-f582dc597d17","SCBI_014.20140610.IXOSCA.N","pathogen of"
"3e35d53c-4b83-44fe-9d15-85cc8a2646f1","SCBI_014.20140610.AMBAME.N","pathogen of"
"81cc437a-8bb1-470b-b757-ba7337debea9","SCBI_014.20140610.IXOSCA.N","pathogen of"
"4e10696d-f219-4809-9bb8-cd6e9b695a07","SCBI_014.20140610.IXOSCA.N","pathogen of"
"ad9c9cd7-7bb0-42f3-8c4e-aec6018ad1df","SCBI_014.20140610.AMBAME.N","pathogen of"
"ca0d7bbf-e57f-4f71-889e-e5d7189fec6d","SCBI_014.20140610.AMBAME.N","pathogen of"
"7874571e-1f8f-41e6-b78d-35c84dab02d3","SCBI_014.20140610.AMBAME.N","pathogen of"
"a9edadba-994c-4b59-a468-160e1be59f79","SCBI_014.20140610.AMBAME.N","pathogen of"
"abdd945e-3bf0-45af-89f7-be8f23feb23a","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b741db3f-877e-4a3a-ad20-8361e29c8563","SCBI_014.20140610.IXOSCA.N","pathogen of"
"7b2712ff-4184-423f-a4cf-02d1d48d5f72","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d9909b42-278d-4a2d-ba04-a609b46e7a0d","SCBI_014.20140610.AMBAME.N","pathogen of"
"b1f8644d-e911-4276-bb8c-9712fda1af99","SCBI_014.20140610.IXOSCA.N","pathogen of"
"ec63264a-eea1-4a13-9b80-2a120fea228a","SCBI_014.20140610.AMBAME.N","pathogen of"
"0da0fea9-eda2-4039-a55f-fcdcc6dc8cc1","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a60d2093-c7bc-4261-a2e4-1d51b78a154c","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d3886f39-aaa8-4135-8c4a-d9f4f69177e2","SCBI_014.20140610.IXOSCA.N","pathogen of"
"90dc3a88-6381-4275-8a05-b6257e7f182f","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d5aad807-af24-4110-9d3f-096fef1bcf8b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b4906263-e970-4179-82b0-7e5629361b9e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"1ddf5f0b-c977-462b-8483-ed74e0f41a0d","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a216e6d9-a86e-4ea4-b780-9bb5c818018b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"93080945-93a9-4304-aa24-91de43733828","SCBI_014.20140610.AMBAME.N","pathogen of"
"1cfdf8e1-0796-4088-9009-2a2624363fd3","SCBI_014.20140610.IXOSCA.N","pathogen of"
"9851a5ee-7287-4c15-a04d-3d654461ad2e","SCBI_014.20140610.AMBAME.N","pathogen of"
"c7b314ed-76d8-4c0b-a800-cb5f672d2ed2","SCBI_014.20140610.AMBAME.N","pathogen of"
"b69f9072-dca1-4954-b373-576c1b64d659","SCBI_014.20140610.AMBAME.N","pathogen of"
"7a4a7077-8508-4876-9dda-a50cb753942e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"aff1daba-1223-491d-bc9b-cfaa801e7abb","SCBI_014.20140610.IXOSCA.N","pathogen of"
"1dbf8dc3-9b79-4cf7-a9be-050e2a85a87c","SCBI_014.20140610.IXOSCA.N","pathogen of"
"462b458a-cddf-403e-90f2-cfbcdfbc6b30","SCBI_014.20140610.IXOSCA.N","pathogen of"
"7058736e-701a-4125-9805-716bd4517bb3","SCBI_014.20140610.AMBAME.N","pathogen of"
"1c3d8f66-6879-45c5-aa8e-ca2f1e80105b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"97b1dc5a-90f1-4db0-b25b-f6ba661ac9b5","SCBI_014.20140610.IXOSCA.N","pathogen of"
"18d5a978-2248-4b8c-809a-0363f3e62d6e","SCBI_014.20140610.AMBAME.N","pathogen of"
"5343fc09-6f79-44a1-83e8-385fe52eef07","SCBI_014.20140610.IXOSCA.N","pathogen of"
"117c1cb6-c37c-4163-a222-afdfc732990b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d6e9144c-a7d4-491a-bd20-fc5a05fe6138","SCBI_014.20140610.AMBAME.N","pathogen of"
"17bf2e6a-d769-4620-8dff-a56c51dca516","SCBI_014.20140610.IXOSCA.N","pathogen of"
"e5b606d1-12f3-4e3a-89fa-fd76e90613ed","SCBI_014.20140610.IXOSCA.N","pathogen of"
"8d38cbb0-d0fb-49a7-84b4-56bb264a8cfa","SCBI_014.20140610.IXOSCA.N","pathogen of"
"0e987294-5afd-4098-91e9-e42e708fede5","SCBI_014.20140610.AMBAME.N","pathogen of"
"f6ddc177-db86-4b6d-b2ab-489861445f04","SCBI_014.20140610.IXOSCA.N","pathogen of"
"e3d1756a-f399-4e4a-816b-af66765a7c44","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b73086d0-1def-40bf-ade8-e664d56658bb","SCBI_014.20140610.AMBAME.N","pathogen of"
"d2b0a61a-55b9-4237-8a25-05d733d8ecb3","SCBI_014.20140610.AMBAME.N","pathogen of"
"a9e99a31-1850-48f4-ae26-aa027fcf6dae","SCBI_014.20140610.IXOSCA.N","pathogen of"
"114a7b86-b105-4b86-9012-e750c5efc015","SCBI_014.20140610.IXOSCA.N","pathogen of"
"c9f2c5b8-3844-40f2-b498-1f5ad6473c15","SCBI_014.20140610.AMBAME.N","pathogen of"
"a4f00473-2239-4f28-a829-ca67f97e71f7","SCBI_014.20140610.AMBAME.N","pathogen of"
"f859fb05-d67e-4cec-8e96-cfcee042c1f9","SCBI_014.20140610.AMBAME.N","pathogen of"
"d4dd4166-38d0-4c1f-9abf-e934e3949506","SCBI_014.20140610.IXOSCA.N","pathogen of"
"f505704e-7f6e-4a7b-80ed-1626cb9e7398","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b9b9ae44-7705-44d6-be9b-41bf541bce34","SCBI_014.20140610.IXOSCA.N","pathogen of"
"7499c774-9a1d-4f4c-a04d-a8745968e280","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a56b4e17-f311-4c53-af6b-19964e4e6531","SCBI_014.20140610.IXOSCA.N","pathogen of"
"8cb2665f-bdc3-4752-9d64-36a61e504535","SCBI_014.20140610.IXOSCA.N","pathogen of"
"5a39d48f-3dd8-42a3-9624-4b2f966c24ce","SCBI_014.20140610.AMBAME.N","pathogen of"
"86eae730-b860-4b5c-9a61-7650986ab19a","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a78f5bd5-74c1-4d19-9633-930e0e23253c","SCBI_014.20140610.AMBAME.N","pathogen of"
"cc64b52a-f857-4d87-82a1-c867c90e3b33","SCBI_014.20140610.IXOSCA.N","pathogen of"
"fb79278e-4053-4e63-baac-962ff5fd7f2b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"674280cb-f94a-4b76-a850-508280065c98","SCBI_014.20140610.IXOSCA.N","pathogen of"
"0c9a26da-2199-4fa5-b5dc-9c6bc8a830cd","SCBI_014.20140610.AMBAME.N","pathogen of"
"c1582956-5060-44f3-a732-f60cd1f39d53","SCBI_014.20140610.IXOSCA.N","pathogen of"
"16cf56ba-3830-410e-a529-0c789969a095","SCBI_014.20140610.AMBAME.N","pathogen of"
"0926c32d-dc3b-41e5-9d68-3f06791d464b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"3f31fd45-d631-46cd-a563-734aa8a58b40","SCBI_014.20140610.IXOSCA.N","pathogen of"
"538fa84f-83a8-4814-b1de-b6e70ba644d7","SCBI_014.20140610.AMBAME.N","pathogen of"
"e3d3f376-3cab-428f-b76a-f9945f24e78e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"0527763f-2eb2-4ccc-9312-08b6002bc94c","SCBI_014.20140610.IXOSCA.N","pathogen of"
"581ca1c9-e341-4f6b-92f7-be1b2f42bda1","SCBI_014.20140610.IXOSCA.N","pathogen of"
"c600d5d2-3d36-44d0-b77d-20c14f0678b4","SCBI_014.20140610.AMBAME.N","pathogen of"
"ee20e50d-fb36-4258-92b5-f05a25d7df70","SCBI_014.20140610.AMBAME.N","pathogen of"
"c629eb91-1ea4-4bd9-a8b7-a72220ad4665","SCBI_014.20140610.AMBAME.N","pathogen of"
"f00c993b-88f0-4ca6-8b03-f74484154fd0","SCBI_014.20140610.IXOSCA.N","pathogen of"
"92ff110c-76a4-44d9-bbce-35d1f5e096a0","SCBI_014.20140610.IXOSCA.N","pathogen of"
"51e0371f-a288-4b20-b1e8-7561043a86f5","SCBI_014.20140610.AMBAME.N","pathogen of"
"e95f90e4-b8f5-4467-9c14-3bcdf399fe26","SCBI_014.20140610.AMBAME.N","pathogen of"
"c969f5ef-f6fe-4de6-abfc-5f16cb27925a","SCBI_014.20140610.AMBAME.N","pathogen of"
"5a43dc00-6ec1-4548-8b4e-6083d5d2683f","SCBI_014.20140610.IXOSCA.N","pathogen of"
"da31c772-b3f9-450e-bde5-27a4fe1aeb97","SCBI_014.20140610.IXOSCA.N","pathogen of"
"1ae3fbb2-f024-46ac-bfe5-0de216e3a1df","SCBI_014.20140610.IXOSCA.N","pathogen of"
"914c4ca9-52e1-446b-aba1-20cace1802c5","SCBI_014.20140610.AMBAME.N","pathogen of"
"2eda695a-2267-48b3-a845-b97d2562f166","SCBI_014.20140610.IXOSCA.N","pathogen of"
"8b4aa6d8-ab9d-4717-b33a-b3924c344d72","SCBI_014.20140610.IXOSCA.N","pathogen of"
"14e30ee5-6ea5-47f8-bafd-49781cdf194e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"25111d58-eca3-486a-8db7-dfeaed225ae3","SCBI_014.20140610.IXOSCA.N","pathogen of"
"87b92283-650f-4d92-b4db-a9d5718d7b37","SCBI_014.20140610.AMBAME.N","pathogen of"
"c79c22d5-9418-4e0d-88ff-64ea04eec2d3","SCBI_014.20140610.AMBAME.N","pathogen of"
"3e9204c9-454a-40b5-b0b6-057b6d5e8e1c","SCBI_014.20140610.AMBAME.N","pathogen of"
"90121def-adf3-4cb8-a307-82ab09b60c8d","SCBI_014.20140610.AMBAME.N","pathogen of"
"8d94d040-2589-4c08-af28-62e8c38e534c","SCBI_014.20140610.IXOSCA.N","pathogen of"
"9876b5a9-a8e0-4301-8e9b-035be7110063","SCBI_014.20140610.IXOSCA.N","pathogen of"
"8de3e592-fbbe-4672-9ad3-2b3e37ce31e7","SCBI_014.20140610.IXOSCA.N","pathogen of"
"bdc0c233-3b3c-47e4-9cd2-a33bf7f86bfc","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d1aa9e76-6636-4554-aede-1f8d22de410a","SCBI_014.20140610.AMBAME.N","pathogen of"
